title,authors,venue,year,citations,type,ranking,impact_factor
Software microbenchmarking in the cloud. How bad is it really?,"C Laaber, J Scheuner, P Leitner","Empirical Software Engineering 24 (4), 2469-2508",2019,90,Journal,,3.6
What's wrong with my benchmark results? Studying bad practices in JMH benchmarks,"D Costa, CP Bezemer, P Leitner, A Andrzejak","IEEE Transactions on Software Engineering 47 (7), 1452-1467",2019,86,Journal,,6.8
"Emerging trends, challenges, and experiences in DevOps and microservice APIs","U Zdun, E Wittern, P Leitner","IEEE Software 37 (1), 87-91",2019,36,Journal,,2.6
Cloud futurology,"B Varghese, P Leitner, S Ray, K Chard, A Barker, Y Elkhatib, H Herry, CH Hong, J Singer, FP Tso, E Yoneki, MF Zhani","Computer 52 (9), 68-77",2019,36,Journal,,2.2
Interactive production performance feedback in the IDE,"J Cito, P Leitner, M Rinard, HC Gall",2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE …,2019,20,Conference,A*,
Studying the impact of ci on pull request delivery time in open source projects—a conceptual replication,"Y Guo, P Leitner","PeerJ Computer Science 5, e245",2019,11,Journal,,3.8
Performance benchmarking of infrastructure-as-a-service (IaaS) clouds with Cloud WorkBench,"J Scheuner, P Leitner",Companion of the 2019 ACM/SPEC International Conference on Performance …,2019,9,Conference,B,
Transpiling applications into optimized serverless orchestrations,"J Scheuner, P Leitner",2019 IEEE 4th International Workshops on Foundations and Applications of …,2019,7,Workshop,,
Cachematic-automatic invalidation in application-level caching systems,"V Holmqvist, J Nilsfors, P Leitner",Proceedings of the 2019 ACM/SPEC International Conference on Performance …,2019,7,Conference,B,
We’re doing it live: A multi-method empirical study on continuous experimentation,"G Schermann, J Cito, P Leitner, U Zdun, HC Gall","Information and Software Technology 99, 41-57",2018,102,Journal,,4.3
An evaluation of open-source software microbenchmark suites for continuous performance assessment,"C Laaber, P Leitner",Proceedings of the 15th international conference on mining software …,2018,90,Conference,A,
"Continuous experimentation: challenges, implementation techniques, and current research","G Schermann, J Cito, P Leitner","Ieee Software 35 (2), 26-31",2018,75,Journal,,2.6
Estimating cloud application performance based on micro-benchmark profiling,"J Scheuner, P Leitner","2018 IEEE 11th International Conference on Cloud Computing (CLOUD), 90-97",2018,49,Conference,B,
PerformanceHat: augmenting source code with runtime performance traces in the IDE,"J Cito, P Leitner, C Bosshard, M Knecht, G Mazlami, HC Gall",Proceedings of the 40th International Conference on Software Engineering …,2018,38,Workshop,,
A cloud benchmark suite combining micro and applications benchmarks,"J Scheuner, P Leitner",Companion of the 2018 ACM/SPEC International Conference on Performance …,2018,22,Conference,B,
Search-based scheduling of experiments in continuous deployment,"G Schermann, P Leitner",2018 IEEE International Conference on Software Maintenance and Evolution …,2018,13,Conference,A,
Optimized IoT service placement in the fog,"O Skarlat, M Nardelli, S Schulte, M Borkowski, P Leitner","Service Oriented Computing and Applications 11 (4), 427-443",2017,462,Journal,,2.1
Extraction of microservices from monolithic software architectures,"G Mazlami, J Cito, P Leitner","2017 IEEE International Conference on Web Services (ICWS), 524-531",2017,389,Conference,A,
An empirical analysis of the docker container ecosystem on github,"J Cito, G Schermann, JE Wittern, P Leitner, S Zumberi, HC Gall",2017 IEEE/ACM 14th International Conference on Mining Software Repositories …,2017,210,Conference,A,
An empirical analysis of build failures in the continuous integration workflows of java-based open-source software,"T Rausch, W Hummer, P Leitner, S Schulte",2017 IEEE/ACM 14th International Conference on Mining Software Repositories …,2017,168,Conference,A,
A tale of CI build failures: An open source and a financial organization perspective,"C Vassallo, G Schermann, F Zampetti, D Romano, P Leitner, A Zaidman, M Di Penta, S Panichella",2017 IEEE international conference on software maintenance and evolution …,2017,101,Conference,A,
An exploratory study of the state of practice of performance testing in java-based open source projects,"P Leitner, CP Bezemer",Proceedings of the 8th ACM/SPEC on International Conference on Performance …,2017,91,Conference,B,
Context-based analytics-establishing explicit links between runtime traces and source code,"J Cito, F Oliveira, P Leitner, P Nagpurkar, HC Gall",2017 IEEE/ACM 39th International Conference on Software Engineering …,2017,21,Conference,C,
An approach and case study of cloud instance type selection for multi-tier web applications,"C Davatz, C Inzinger, J Scheuner, P Leitner","2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid …",2017,20,Conference,B,
(h| g) opper: Performance History Mining and Analysis,"C Laaber, P Leitner",Proceedings of the 8th ACM/SPEC on International Conference on Performance …,2017,4,Conference,B,
Patterns in the chaos—a study of performance variation and predictability in public iaas clouds,"P Leitner, J Cito","ACM Transactions on Internet Technology (TOIT) 16 (3), 1-23",2016,306,Journal,,5.1
Resource provisioning for IoT services in the fog,"O Skarlat, S Schulte, M Borkowski, P Leitner",2016 IEEE 9th international conference on service-oriented computing and …,2016,279,Conference,A,
