title,authors,venue,year,citations,ranking
Mining lifecycle event logs for enhancing service-based applications,"FM Nardini, G Tolomei, P Leitner, F Silvestri, S Dustdar","Technical Report N./cnr. isti/2010-TR-017, CNR ISTI Pisa Italy",2011.0,1,
Distributed continuous data aggregation over web service event streams,"W Hummer, B Satzger, P Leitner, S Dustdar","Technical Report (TUV-1841-2011-04), Vienna University of Technology",2011.0,1,
Let’s Trace It: Fine-Grained Serverless Benchmarking for Synchronous and Asynchronous Applications,"S Talluri, S Eismann, J Scheuner, A Iosup, P Leitner, C Abad, E van Eyk","Future Generation Computer Systems, 108336",2025.0,0,
BLAFS: A Bloat-Aware Container File System,"H Zhang, M Alhanahnah, P Leitner, A Ali-Eldin","Proceedings of the 2025 ACM Symposium on Cloud Computing, 614-628",2025.0,0,
LLM Company Policies and Policy Implications in Software Organizations,"R Khojah, M Mohamad, L Erlenhov, FG de Oliveira Neto, P Leitner",IEEE Software,2025.0,0,
The perceived impact and sequence of activities when transitioning to microservices,"HM Ayas, P Leitner, R Hebig",2023 IEEE International Conference on Service-Oriented System Engineering …,2023.0,0,
The Cure is in the Cause: A Filesystem for Container Debloating,"H Zhang, M Alhanahnah, P Leitner, A Ali-Eldin","arXiv e-prints, arXiv: 2305.04641",2023.0,0,
Using Microbenchmark Suites to Detect Application Performance Changes-Replication Package,"M Grambow, D Kovalev, C Laaber, P Leitner, D Bermbach",,2022.0,0,
Topology-Aware Continuous Experimentation in Microservice-Based,"F Oliveira, E Wittern, P Leitner","Service-Oriented Computing: 18th International Conference, ICSOC 2020, Dubai …",2020.0,0,
Software Developers,P Leitner,University of Zurich,2019.0,0,
Demonstration Chairs,"N Kaviani, ML Penin, P Álvarez, M Asadi, D Benslimane, A Bouguettaya, ...","Service-Oriented Computing–ICSOC 2017 Workshops: ASOCA, ISyCC, WESOACS, and …",2018.0,0,
PerformanceHat,"J Cito, P Leitner, C Bosshard, M Knecht, G Mazlami, HC Gall",Proceedings of the 40th International Conference on Software Engineering …,2018.0,0,
NATRES’White-paper,"D Petcu, L López, FJ Nieto, SA Atos Spain, SI Mavroidis, ...",,2016.0,0,
"Advances in Service-Oriented and Cloud Computing-Workshops of ESOCC 2015, Taormina, Italy","A Celesti, P Leitner",Advances in Service-Oriented and Cloud Computing-Workshops of ESOCC 2015 …,2016.0,0,
A framework for a cost-efficient cloud ecosystem,"E Salant, P Leitner, K Wallbom, J Ahtes","eChallenges e-2015 Conference, 1-9",2015.0,0,
CloudWave-Leveraging DevOps for Cloud Management and Application Development,"D Bruneo, A Dadashi, P Leitner, B Moltchanov, FJN De-Santos, A Miron, ...",University of Zurich,2015.0,0,
Profile-based View Composition in Development Dashboards,"M Brandtner, P Leitner, H Gall","Softwaretechnik-Trends Band 35, Heft 2",2015.0,0,
Building Elastic Java Applications based on CloudScale and the Infrastructure-as-a-Service Paradigm,P Leitner,,2013.0,0,
Engineering Java Applications for the Infrastructure-as-a-Service Cloud,P Leitner,,2013.0,0,
CloudScale,"P Leitner, B Satzger, W Hummer, C Inzinger, S Dustdar",Proceedings of the 27th Annual ACM Symposium on Applied Computing-SAC'12,2012.0,0,
WS-Aggregation,"W Hummer, P Leitner, S Dustdar",Proceedings of the 2011 ACM Symposium on Applied Computing-SAC'11,2011.0,0,
WS-Aggregation Debugger,"W Hummer, P Leitner, S Dustdar",,2010.0,0,
Cloud Computing,I Brandic,,2010.0,0,
Benjamin Satzger,"S Dustdar, W Hummer, P Leitner, C Inzinger","University of California, Berkeley 2010",2009.0,0,
CD-JRA-2.3. 3: Requirements for Service Infrastructures in Dynamic,P Leitner,,2009.0,0,
VRESCo-Vienna Runtime Environment for Service-Oriented Computing,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar",,2009.0,0,
CHASE 2024,"MH Tanzil, G Uddin, HM Ayas, R Hebig, P Leitner, JA Matthews, A Piirisild, ...",,,0,
(h| g) opper,"C Laaber, P Leitner",Proceedings of the 8th ACM/SPEC on International Conference on Performance …,,0,
2023 IEEE International Conference on Service-Oriented System Engineering (SOSE)| 979-8-3503-2239-2/23/$31.00© 2023 IEEE| DOI: 10.1109/SOSE58276. 2023.00039,"S Abeck, D Adhikari, S Ahlawat, VV Aremanda, HM Ayas, A Bansal, ...",,,0,
BotSE 2023,"R Abdalkareem, C Brown, N Casee, D Costa, L Erlenhov, M Gerosa, ...",,,0,
SANER 2022,"D Hao, A Hindle, R Abdalkareem, H Bagheri, TF Bissyandé, Y Cai, ...",,,0,
BotSE 2023,"C Treude, F Markusse, A Serebrenik, P Leitner, G Melo, LF Lins, W Maalej, ...",,,0,
3.21 Software Development Using Serverless Systems,P Leitner,"Serverless Computing, 58",,0,
"4.2 Software Engineering of Serverless Applications, but also Systems, Platforms, and Ecosystems (Topic 2)","S Eismann, R Chatley, N Herbst, G Kousiouris, P Leitner, PG López, ...","Serverless Computing, 73",,0,
Research Track Program Committee,"A Dubey, A Hakiri, A Zomaya, A Iosup, C Esposito, D Zhu, D Cason, ...",,,0,
BotSE 2021,"M Monperrus, R Scandariato, T Zimmermann, A Hindle, N Novielli, ...",,,0,
Research Track Chairs,"F Khomh, D Lo, A Giuliano, A Venera, G Bavonata, ...",,,0,
RCoSE-DDrEE 2019 Committees,"R Chatley, C Elsner, M Fokaefs, W Gehring, TSS Daimler, GN Herbst, ...",,,0,
Wissenschaftliche Berichte,"R Zabolotnyi, P Leitner, W Hummer, S Dustdar",,,0,
BIGDSE 2016,"L Baresi, T Menzies, A Metzger, T Zimmermann, K Anderson, T Barik, ...",,,0,
Continuous Experimentation,"G Schermann, J Cito, P Leitner",,,0,
Program Committee Chairs,"A Simonet, S Wang, A Lebre, FA De Oliveira, LA Veiga, LF Bittencourt, ...",,,0,
UCC 2016 Technical Program Committee,"J Spillner, A Sill, J Abawajy, N Allah, A Anjum, M Assuncao, T Beach, ...",,,0,
Main Track,"M Aiello, X Bai, P Barnaghi, TD Cao, M Comerio, G Copil, ...",,,0,
UCC 2015,"J Abawajy, N Min-Allah, M Alghamdi, A Anjum, T Beach, S Benkner, ...",,,0,
SOCA 2015,"A Andersen, S Andrei, F Arbab, X Bai, L Baresi, C Belwal, B Benatallah, ...",,,0,
2015 IEEE 23rd International Conference on Program Comprehension (ICPC 2015),"G Schermann, M Brandtner, S Panichella, P Leitner, H Gall, O Benomar, ...",,,0,
