title,authors,venue,year,citations,ranking
Bifrost: Supporting continuous deployment with automated enactment of multi-phase live testing strategies,"G Schermann, D Schöni, P Leitner, HC Gall","Proceedings of the 17th International Middleware Conference, 1-14",2016.0,85,
Data-driven and automated prediction of service level agreement violations in service compositions,"P Leitner, J Ferner, W Hummer, S Dustdar","Distributed and Parallel Databases 31 (3), 447-470",2013.0,78,
"Continuous experimentation: challenges, implementation techniques, and current research","G Schermann, J Cito, P Leitner","Ieee Software 35 (2), 26-31",2018.0,75,
Cloud work bench--infrastructure-as-code based cloud benchmarking,"J Scheuner, P Leitner, J Cito, H Gall",2014 IEEE 6th International Conference on Cloud Computing Technology and …,2014.0,66,
All the services large and micro: Revisiting industrial practice in services computing,"G Schermann, J Cito, P Leitner","International Conference on Service-Oriented Computing, 36-47",2015.0,65,A
Advanced event processing and notifications in service runtime environments,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar",Proceedings of the second international conference on Distributed event …,2008.0,65,
CloudWave: Where adaptive cloud management meets DevOps,"D Bruneo, T Fritz, S Keidar-Barner, P Leitner, F Longo, C Marquezan, ...","2014 IEEE Symposium on Computers and Communications (ISCC), 1-6",2014.0,63,C
Towards quality gates in continuous delivery and deployment,"G Schermann, J Cito, P Leitner, HC Gall","2016 IEEE 24th international conference on program comprehension (ICPC), 1-4",2016.0,56,
Dynamically reconfiguring software microbenchmarks: Reducing execution time without sacrificing result quality,"C Laaber, S Würsten, HC Gall, P Leitner",Proceedings of the 28th ACM Joint Meeting on European Software Engineering …,2020.0,50,
Cloud workbench: Benchmarking iaas providers based on infrastructure-as-code,"J Scheuner, J Cito, P Leitner, H Gall","Proceedings of the 24th International Conference on World Wide Web, 239-242",2015.0,50,
Estimating cloud application performance based on micro-benchmark profiling,"J Scheuner, P Leitner","2018 IEEE 11th International Conference on Cloud Computing (CLOUD), 90-97",2018.0,49,
Generic event‐based monitoring and adaptation methodology for heterogeneous distributed systems,"C Inzinger, W Hummer, B Satzger, P Leitner, S Dustdar","Software: Practice and Experience 44 (7), 805-822",2014.0,48,
Connecting fog and cloud computing,"E Elmroth, P Leitner, S Schulte, S Venugopal","IEEE Cloud Computing 4 (2), 22-25",2017.0,44,
Cloudscale: a novel middleware for building transparently scaling cloud applications,"P Leitner, B Satzger, W Hummer, C Inzinger, S Dustdar","Proceedings of the 27th Annual ACM Symposium on Applied Computing, 434-440",2012.0,42,
An empirical study on principles and practices of continuous delivery and deployment,"G Schermann, J Cito, P Leitner, U Zdun, H Gall",PeerJ Preprints,2016.0,41,
Service composition,"G Baryannis, O Danylevych, D Karastoyanova, K Kritikos, P Leitner, ...","Service research challenges and solutions for the future internet, 55-84",2010.0,41,
Service provenance in QoS-aware web service runtimes,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar","2009 IEEE International Conference on Web Services, 115-122",2009.0,41,A
Deriving a unified fault taxonomy for event-based systems,"W Hummer, C Inzinger, P Leitner, B Satzger, S Dustdar",Proceedings of the 6th acm international conference on distributed event …,2012.0,40,
Preventing SLA violations in service compositions using aspect-based fragment substitution,"P Leitner, B Wetzstein, D Karastoyanova, W Hummer, S Dustdar, ...","International Conference on Service-Oriented Computing, 365-380",2010.0,39,
A systematic mapping study of source code representation for deep learning in software engineering,"HP Samoaa, F Bayram, P Salza, P Leitner","IET Software 16 (4), 351-385",2022.0,38,
PerformanceHat: augmenting source code with runtime performance traces in the IDE,"J Cito, P Leitner, C Bosshard, M Knecht, G Mazlami, HC Gall",Proceedings of the 40th International Conference on Software Engineering …,2018.0,38,
Bursting with Possibilities--An Empirical Study of Credit-Based Bursting Cloud Instance Types,"P Leitner, J Scheuner",2015 IEEE/ACM 8th International Conference on Utility and Cloud Computing …,2015.0,38,
Wpress: An application-driven performance benchmark for cloud-based virtual machines,"AH Borhani, P Leitner, BS Lee, X Li, T Hung",2014 ieee 18th international enterprise distributed object computing …,2014.0,38,
"Emerging trends, challenges, and experiences in DevOps and microservice APIs","U Zdun, E Wittern, P Leitner","IEEE Software 37 (1), 87-91",2019.0,36,
Cloud futurology,"B Varghese, P Leitner, S Ray, K Chard, A Barker, Y Elkhatib, H Herry, ...","Computer 52 (9), 68-77",2019.0,36,
Let's trace it: Fine-grained serverless benchmarking using synchronous and asynchronous orchestrated applications,"J Scheuner, S Eismann, S Talluri, E Van Eyk, C Abad, P Leitner, A Iosup",arXiv preprint arXiv:2205.07696,2022.0,32,
Discovering loners and phantoms in commit and issue data,"G Schermann, M Brandtner, S Panichella, P Leitner, H Gall","2015 IEEE 23rd International conference on program comprehension, 4-14",2015.0,32,
Applying test case prioritization to software microbenchmarks,"C Laaber, HC Gall, P Leitner","Empirical Software Engineering 26 (6), 133",2021.0,31,
Toward a definition for serverless computing,"S Kounev, C Abad, I Foster, N Herbst, A Iosup, S Al-Kiswany, AAE Hassan, ...",Schloss Dagstuhl--Leibniz-Zentrum fur Informatik,2021.0,31,
Runtime metric meets developer: building better cloud applications using feedback,"J Cito, P Leitner, HC Gall, A Dadashi, A Keller, A Roth","2015 ACM International Symposium on New Ideas, New Paradigms, and …",2015.0,30,
An empirical study of the systemic and technical migration towards microservices,"H Michael Ayas, P Leitner, R Hebig","Empirical Software Engineering 28 (4), 85",2023.0,29,
Facing the giant: A grounded theory study of decision-making in microservices migrations,"HM Ayas, P Leitner, R Hebig",Proceedings of the 15th ACM/IEEE International Symposium on Empirical …,2021.0,29,
Automated generation and evaluation of jmh microbenchmark suites from unit tests,"M Jangali, Y Tang, N Alexandersson, P Leitner, J Yang, W Shang","IEEE Transactions on Software Engineering 49 (4), 1704-1725",2022.0,28,
JCloudScale: closing the gap between IaaS and PaaS,"R Zabolotnyi, P Leitner, W Hummer, S Dustdar","ACM Transactions on Internet Technology (TOIT) 15 (3), 1-20",2015.0,28,
Integrated metadata support for web service runtimes,"F Rosenberg, P Leitner, A Michlmayr, S Dustdar","2008 12th Enterprise Distributed Object Computing Conference Workshops, 361-368",2008.0,26,
Design by units: Abstractions for human and compute resources for elastic systems,"S Tai, P Leitner, S Dustdar","IEEE Internet Computing 16 (4), 84-88",2012.0,24,
Identifying root causes of web performance degradation using changepoint analysis,"J Cito, D Suljoti, P Leitner, S Dustdar","International Conference on Web Engineering, 181-199",2014.0,23,B
Tep-gnn: Accurate execution time prediction of functional tests using graph neural networks,"HP Samoaa, A Longa, M Mohamad, MH Chehreghani, P Leitner",International Conference on Product-Focused Software Process Improvement …,2022.0,22,
